DEBUG: General     , 1707411450286> LoggerManager.init                  > Initializing...
LOG  : General     , 1707411458196> closest width=1366 freq=60
LOG  : General     , 1707411458196> closest width=1440 freq=60
LOG  : General     , 1707411458196> closest width=1600 freq=60
LOG  : General     , 1707411458197> closest width=1760 freq=60
LOG  : General     , 1707411458212> 1707411458203 fmod: Java loging: OK
LOG  : General     , 1707411458231> 1707411458231 fmod: FMOD::Studio::System::create() result: No errors.
LOG  : General     , 1707411458233> 1707411458233 fmod: FMOD::Studio::System::getCoreSystem() result: No errors.
LOG  : General     , 1707411458234> 1707411458234 fmod: FMOD_System_GetVersion() result: No errors.
LOG  : General     , 1707411458235> 1707411458235 fmod: fmodintegration built with version 20206, fmod shared library version 20206
LOG  : General     , 1707411458237> 1707411458237 fmod: System Create: OK
LOG  : General     , 1707411458238> 1707411458238 fmod: FMOD_System_SetSoftwareFormat() result: No errors.
LOG  : General     , 1707411458336> 1707411458336 fmod: FMOD::Studio::System::Initialize() result: No errors.
LOG  : General     , 1707411458337> 1707411458337 fmod: Creating DSP for capture sound
LOG  : General     , 1707411458338> 1707411458338 fmod: FMOD_System_CreateDSP() result: No errors.
LOG  : General     , 1707411458341> 1707411458341 fmod: FMOD_DSP_SetBypass() result: No errors.
LOG  : General     , 1707411458343> 1707411458343 fmod: FMOD_System_GetMasterChannelGroup() result: No errors.
LOG  : General     , 1707411458344> 1707411458344 fmod: FMOD_ChannelGroup_AddDSP() result: No errors.
LOG  : General     , 1707411458345> 1707411458345 fmod: FMOD_System_Set3DSettings() result: No errors.
LOG  : General     , 1707411459682> GraphicsCard: ATI Technologies Inc. AMD Radeon RX 580 2048SP
LOG  : General     , 1707411459686> OpenGL version: 4.6.0 Compatibility Profile Context 22.20.27.09.230330
LOG  : General     , 1707411459687> Desktop resolution 1920x1080
LOG  : General     , 1707411459694> Initial resolution 1920x1080 fullScreen=true
LOG  : General     , 1707411459766> OpenGL 1.5 buffer objects supported
LOG  : General     , 1707411459782> VSync: OFF
LOG  : General     , 1707411460433> ATI: available texture memory is 8180 MB
LOG  : General     , 1707411494457> AngelCodeFont failed to load page 0 texture C:/GOG Games/Project Zomboid/media/mainfont_0.png
LOG  : General     , 1707411494468> AngelCodeFont failed to load page 0 texture C:/GOG Games/Project Zomboid/media/mainfont2_0.png
WARN : General     , 1707411494489> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1707411494490> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1707411494492> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1707411494492> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
LOG  : General     , 1707411494498> AngelCodeFont failed to load page 0 texture C:/GOG Games/Project Zomboid/media/fonts/zomboidDialogue.bmfc_0.png
WARN : General     , 1707411494541> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1707411495082> Loading networking libraries...
LOG  : General     , 1707411495084> Loading RakNet64...
LOG  : General     , 1707411495099> Loading ZNetNoSteam64...
LOG  : Network     , 1707411495313> [08-02-24 19:58:15.312] > ZNet: SetLogLevel 2
LOG  : General     , 1707411495314> SteamUtils started without Steam
LOG  : General     , 1707411495846> AngelCodeFont failed to load page 0 texture C:/GOG Games/Project Zomboid/media/mainfont_0.png
LOG  : General     , 1707411495852> AngelCodeFont failed to load page 0 texture C:/GOG Games/Project Zomboid/media/mainfont2_0.png
WARN : General     , 1707411495887> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1707411495890> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1707411495896> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1707411495901> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
WARN : General     , 1707411496064> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1707411496729> translator: language is RU
